食品分類,樣品名稱,俗名,粗蛋白(g),粗脂肪(g),飽和脂肪(g),總碳水化合物(g),糖質總量(g),鈉(mg),反式脂肪(mg),酒精含量(g)
水果類,楊桃平均值,"羊桃,洋桃,陽桃,五稜子,五斂子",0.5,0.1,,8.2,6.3,0.0,,
水果類,楊桃(2月取樣),"羊桃,洋桃,陽桃,五稜子,五斂子",0.4,0.1,,7.6,,0.0,,
水果類,楊桃(4月取樣),"羊桃,洋桃,陽桃,五稜子,五斂子",0.7,0.1,,8.1,6.3,0.0,,
水果類,楊桃(5月取樣),"羊桃,洋桃,陽桃,五稜子,五斂子",0.6,0.1,,8.7,,0.0,,
水果類,楊桃(9月取樣),"羊桃,洋桃,陽桃,五稜子,五斂子",0.5,0.0,,8.8,,0.0,,
水果類,楊桃(11月取樣),"羊桃,洋桃,陽桃,五稜子,五斂子",0.4,0.0,,8.0,,0.0,,
水果類,美國紅葡萄,"蒲桃,蒲萄,草龍珠,蒲陶,葡桃",0.4,0.4,,17.7,,8.0,,
水果類,巨峰葡萄,"蒲桃,蒲萄,草龍珠,蒲陶,葡桃",0.5,0.3,0.1,16.6,15.6,1.0,,
水果類,綠葡萄平均值,"葡萄,蒲桃,蒲萄,草龍珠,蒲陶,葡桃",0.5,0.2,,15.3,,4.0,,
水果類,美國綠葡萄,"蒲桃,蒲萄,草龍珠,蒲陶,葡桃(青葡萄,白葡萄)",0.5,0.2,,16.8,,7.0,,
水果類,意大利葡萄,"蒲桃,蒲萄,草龍珠,蒲陶,葡桃",0.5,0.1,,13.7,,0.0,,
水果類,美國紅葡萄(含皮),"蒲桃,蒲萄,草龍珠,蒲陶,葡桃",0.4,0.1,,16.3,,1.0,,
水果類,美國紫葡萄(含皮),"蒲桃,蒲萄,草龍珠,蒲陶,葡桃",0.4,0.0,,21.9,,1.0,,
水果類,美國黑葡萄(含皮),"蒲桃,蒲萄,草龍珠,蒲陶,葡桃",0.6,0.2,,16.4,,0.0,,
水果類,美國綠葡萄(含皮),"蒲桃,蒲萄,草龍珠,蒲陶,葡桃(青葡萄,白葡萄)",0.6,0.4,,22.7,,1.0,,
水果類,無子紅葡萄(含皮),"蒲桃,蒲萄,草龍珠,蒲陶,葡桃",0.5,0.1,,19.2,,3.0,,
水果類,黑美人葡萄(含皮),"蒲桃,蒲萄,草龍珠,蒲陶,葡桃",0.5,0.1,,17.4,,0.0,,
水果類,金香葡萄(含皮),"蒲桃,蒲萄,草龍珠,蒲陶,葡桃",0.6,0.1,,16.0,,0.0,,
水果類,葡萄乾,,3.2,1.5,0.2,78.7,43.5,14.0,0.0,
水果類,蓮霧平均值(粉紅色種),"璉霧,輦霧,洋蒲桃",0.4,0.3,0.1,10.0,7.8,2.0,0.0,
水果類,蓮霧(紅寶石),"璉霧,輦霧,洋蒲桃,水蓊",0.3,0.3,0.1,8.1,7.5,2.0,,
水果類,蓮霧(黑金剛),"璉霧,輦霧,洋蒲桃,水蓊",0.5,0.1,0.0,8.8,,1.0,,
